,MS_top_1,MS_top_2,MS_top_3,MS_top_4,MS_top_5,MS_top_6,MS_top_7,MS_top_8,MS_top_9,MS_top_10,MS_top_11,MS_top_12,MS_top_13,MS_top_14,MS_top_15,cas
0,1.0,0.9938060911163532,0.6353105520486024,0.6275088625611154,0.3473201460181073,0.08016499518983668,0.09369934502708183,0.04704735045663603,0.14871970585522068,0.058644456451549136,0.031628470895217496,0.054822682885043605,0.05293815316087032,0.08065260078280458,0.029058657634981055,1585-07-5
1,0.9960166014693252,1.0,0.6231037114779123,0.6159002003625608,0.445126896288522,0.4357885697929586,0.15402871863371814,0.1045701746016601,0.07036542314664626,0.10560776643450051,0.04260089686098654,0.0888751073370861,0.06708567884743817,0.05913080812899532,0.04658429539166106,104-92-7
2,1.0,0.9968626908990394,0.9745283670789855,0.10365558703614126,0.11554142768295211,0.053209868011885826,0.10711077327067928,0.055227696772856084,0.1473291410407021,0.13732292170547994,0.07667749291686826,0.06269089903945821,0.03571280492018524,0.022638380208693253,0.026231773892612817,402-43-7
3,1.0,0.39474387527839644,0.40659242761692643,0.3281069042316259,0.06996881959910912,0.07682850779510024,0.13156347438752775,0.07891314031180399,0.06342984409799546,0.0329621380846325,0.07857461024498878,0.037042316258351894,0.041425389755011095,0.018066815144766137,0.009621380846325155,622-98-0
4,1.0,0.5372502274224411,0.42029235546911764,0.32974685529659015,0.19959848175915176,0.1195614667963236,0.1236550707362213,0.12116126603720317,0.10445747984566636,0.0705793782740989,0.04954672354841744,0.09178456036889486,0.1456758367577402,0.05759277267166474,0.037548229241820615,623-12-1
5,1.0,0.4794589178356713,0.40330661322645284,0.32420396348252056,0.13109552438209754,0.18670674682698732,0.06376085504342018,0.045090180360721425,0.06673346693386771,0.13066132264529057,0.08489200623469158,0.058171899354264055,0.08866622133155205,0.06319305277221111,0.03954575818303275,98-56-6
6,1.0,0.8476209912233268,0.29326203152947045,0.18262984762142448,0.20117975541782787,0.09007008859864399,0.08277959180843836,0.12906900364654825,0.08140000415956075,0.09830775203471848,0.04682495528472193,0.02760908448067884,0.10023588175755307,0.06901231229982113,0.10455229261123358,25309-64-2
7,1.0,0.23444324546528958,0.07721425757497902,0.04439648527824879,0.0461606974633027,0.03399105904115924,0.08015175650446196,0.019697514687494644,0.06842745319699235,0.02017710634945104,0.026574516554476513,0.009112241577171446,0.012674922494561766,0.009557576691845246,0.006114793689943981,696-62-8
8,0.5553466167260223,1.0,0.09152799950878052,0.11010223504850791,0.04912194522903106,0.11512955913054156,0.04089401940316835,0.10291815055876212,0.029749478079331933,0.0477634164312907,0.04158479675795163,0.0775282451185067,0.01641747513201523,0.011743215031315233,0.032497236890580906,455-13-0
9,0.6516690856313498,0.3321424584124149,0.9961854787689329,1.0,0.17397938297793158,0.11127237542331882,0.11318893974917196,0.03516802500837333,0.027092404450895023,0.06929403446094302,0.0410293625097689,0.030404525324699477,0.02084031111607306,0.026850507982583437,0.044657809534442316,109-04-6
10,0.7756771252346473,1.0,0.34694288012872077,0.13904532046124965,0.055868418700277096,0.041834271922767445,0.05649414498972017,0.06878519710378114,0.02172164119066773,0.016715830875122913,0.02377759899883788,0.01188879949941894,0.015330294091356004,0.01709573612228475,0.017296862429605746,109-09-1
11,0.8460536282381456,1.0,0.13906983790334795,0.033328283593394945,0.04787153461596731,0.03151037721557342,0.008998636570216635,0.04232692016361158,0.05617330707468575,0.013816088471443746,0.005090137857900326,0.009089531889107647,0.0031510377215573176,0.009331919406150517,0.004726556582335976,5029-67-4
12,1.0,0.9856723362603379,0.404976380633538,0.12877874398876485,0.06170825472032682,0.05901295164058839,0.026896287574652754,0.014753237910147089,0.013902089569177064,0.018328060942221214,0.005163633268551471,0.005929666775424509,0.015036954023803764,0.014753237910147089,0.0047238732923836286,626-55-1
13,1.0,0.33975205471352266,0.3241224353036245,0.038670004138991264,0.1085598281333149,0.05223012791453965,0.05932554151802425,0.06515954825866714,0.007706407552673594,0.026962571693241545,0.009381713542385244,0.018921102942625688,0.03216587500246367,0.02428208210970297,0.014486469440447779,626-60-8
14,1.0,0.9564583712880305,0.11592882735167304,0.10639460739661138,0.08805489767413616,0.05884496265257788,0.11562518977348633,0.10584805975587541,0.050768203072812323,0.0611829720046153,0.03461468391328109,0.0705046456549463,0.038865610007894555,0.018582619785024616,0.02987793769356901,1120-90-7
